title,brand,price,rating,review_count,product_link,image_url
"Laptop, 14 Inch HD Laptop Computer with MS Office 2024 Pro Plus, 8GB RAM 128GB SSD, Quad Core N5095 Processor Win-11 Laptops, Long Lasting Battery, Dual-Band WiFi 5, BT, USB 3.0, Webcam",FURESTUR,$159.20,4.3,48,https://www.amazon.com/FURESTUR-Computer-Processor-Lasting-Dual-Band/dp/B0D92BJ33R/ref=sr_1_13?crid=1MMTRW2O10Y0J&dib=eyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI&dib_tag=se&keywords=laptops&qid=1754669906&sprefix=laptops%2Caps%2C264&sr=8-13&xpid=V4OMaF1xdb4Ig,https://m.media-amazon.com/images/I/71HrPFtmz-L.__AC_SX300_SY300_QL70_ML2_.jpg
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 416GB Storage (128GB eMMC + 288GB Docking Station Set), Intel UHD Graphics, 720p Camera, Wi-Fi, 1 Year Office 365, Win 11 S, Gold",HP,$298.99,4.3,592,https://www.amazon.com/HP-Stream-BrightView-N4120-Graphics/dp/B0DC6KMWJS/ref=sr_1_14?crid=1MMTRW2O10Y0J&dib=eyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI&dib_tag=se&keywords=laptops&qid=1754669906&sprefix=laptops%2Caps%2C264&sr=8-14&xpid=V4OMaF1xdb4Ig,https://m.media-amazon.com/images/I/71wVOooh9pL.__AC_SX300_SY300_QL70_ML2_.jpg
"ASUS 15.6” Vivobook Go Slim Laptop, Intel Dual Core N4500, 4GB RAM, 128GB SSD, Windows 11, Star Black, L510KA-ES04",ASUS,$224.99,4.0,"1,548",https://www.amazon.com/ASUS-Vivobook-Celeron-Windows-L510KA-ES04/dp/B0CRDCW3Q3/ref=sr_1_15?crid=1MMTRW2O10Y0J&dib=eyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI&dib_tag=se&keywords=laptops&qid=1754669906&sprefix=laptops%2Caps%2C264&sr=8-15&xpid=V4OMaF1xdb4Ig,https://m.media-amazon.com/images/I/61KZBt8QeGL.__AC_SX300_SY300_QL70_ML2_.jpg
"Lenovo IdeaPad 3i Chromebook, 15.6” FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue",Lenovo,$189.99,4.3,948,https://www.amazon.com/Lenovo-3i-Chromebook-Everyday-Notebook/dp/B0BSJ46KY9/ref=sr_1_16?crid=1MMTRW2O10Y0J&dib=eyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI&dib_tag=se&keywords=laptops&qid=1754669906&sprefix=laptops%2Caps%2C264&sr=8-16&xpid=V4OMaF1xdb4Ig,https://m.media-amazon.com/images/I/71bwzCMcQvL.__AC_SX300_SY300_QL70_ML2_.jpg
"15.6 Inch Laptop Computer,Gaming Laptop,32GB RAM 1TB SSD,i9-11900H 8C/16T Processor(up to 4.9Ghz),UHD Graphics,15.6” FHD 1920 * 1080 Display,WiFi 6,BT5.2,Backlit Keyboard",NIAKUN,$649.99,4.0,27,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDQ2NDk5NDY0MzYzMTkyOjE3NTQ2Njk5MDY6c3BfbXRmOjMwMDg0NzM3Mzk5ODgwMjo6MDo6&url=%2FNIAKUN-Computer-i9-11900H-Processor-Graphics%2Fdp%2FB0FCMKCQSK%2Fref%3Dsr_1_17_sspa%3Fcrid%3D1MMTRW2O10Y0J%26dib%3DeyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1754669906%26sprefix%3Dlaptops%252Caps%252C264%26sr%3D8-17-spons%26xpid%3DV4OMaF1xdb4Ig%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/71qdk-1H2qL.__AC_SX300_SY300_QL70_ML2_.jpg
"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",HP,$212.48,4.1,"2,375",https://www.amazon.com/HP-Students-Business-Quad-Core-Storage/dp/B0B2D77YB8/ref=sr_1_18?crid=1MMTRW2O10Y0J&dib=eyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI&dib_tag=se&keywords=laptops&qid=1754669906&sprefix=laptops%2Caps%2C264&sr=8-18&xpid=V4OMaF1xdb4Ig,https://m.media-amazon.com/images/I/81divYKpeTL.__AC_SY300_SX300_QL70_ML2_.jpg
"Center Cam V2 Middle-Screen Webcam - The Original Center Cam - 1080p Plug & Play USB, Adjustable Webcam for Laptop and Desktop for Home Video Conferences",CC CENTER CAM,$113.97,4.2,35,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDQ2NDk5NDY0MzYzMTkyOjE3NTQ2Njk5MDY6c3BfYnRmOjMwMDc3NzU3Mzc5MTcwMjo6MDo6&url=%2FCenter-Cam-Middle-Screen-Webcam-Conferences%2Fdp%2FB0DTHBJQNM%2Fref%3Dsr_1_19_sspa%3Fcrid%3D1MMTRW2O10Y0J%26dib%3DeyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1754669906%26sprefix%3Dlaptops%252Caps%252C264%26sr%3D8-19-spons%26xpid%3DV4OMaF1xdb4Ig%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/41rSY17XEIL.__AC_SY300_SX300_QL70_ML2_.jpg
"Rapink Cat6 7ft (24 Pack) Ethernet Patch Cables, Blue, 10G, RJ45, Male-to-Male, Cat6 Ethernet Cable for Laptop, PC, Router, Server",Rapink,$31.99,4.8,605,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDQ2NDk5NDY0MzYzMTkyOjE3NTQ2Njk5MDY6c3BfYnRmOjMwMDY5MjQzOTYxNzYwMjo6MDo6&url=%2FRapink-Cables-Ethernet-Switch-Flexiable%2Fdp%2FB0CXWRCRXT%2Fref%3Dsr_1_20_sspa%3Fcrid%3D1MMTRW2O10Y0J%26dib%3DeyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1754669906%26sprefix%3Dlaptops%252Caps%252C264%26sr%3D8-20-spons%26xpid%3DV4OMaF1xdb4Ig%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/51NPT6ESupL._SY445_SX342_QL70_ML2_.jpg
180W 19.5V 9.23A AC Power Adapter Charger Cord fit for Dell Alienware 15 R3 M14X M15X Precision 7510 Precision 17 7710 M4600 M4700 M4800 74X5J JVF3V DA180PM111 Laptop,Artoomba,$36.99,4.0,25,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDQ2NDk5NDY0MzYzMTkyOjE3NTQ2Njk5MDY6c3BfYnRmOjMwMDM2NTg2MDc4NzIwMjo6MDo6&url=%2FAdapter-Charger-Alienware-Precision-7-45-0mm%2Fdp%2FB07V2DFD5B%2Fref%3Dsr_1_21_sspa%3Fcrid%3D1MMTRW2O10Y0J%26dib%3DeyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1754669906%26sprefix%3Dlaptops%252Caps%252C264%26sr%3D8-21-spons%26xpid%3DV4OMaF1xdb4Ig%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/61w6IY0TK9L.__AC_SX300_SY300_QL70_ML2_.jpg
"15.6 Inch Laptop with Office 365, 4GB RAM, 128GB Storage Expandable 1TB, 5205U Processor, HD Display, Windows 11 Laptops Computer, Wi-Fi 5, BT4.2, Numpad, Type-C, for Business and Students.",jumper,$209.99,4.5,46,https://www.amazon.com/Expandable-Processor-Computer-Business-Students/dp/B0FFSPXRGN/ref=sr_1_2?crid=1MMTRW2O10Y0J&dib=eyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyH5m3ZFG9Tik2x9Jphy2nGy3FTtjrkZ_z9B_YBkMA_vzb8mkI4EAO-ZenNRlFJYvg9MTqqtSYzgqhzNKJssoEHl2rvcSuoRMvmTbXfekQxxwR__uMS68t7W1Y7uEEYgC2p5Tlz44sG0ZLv_ASjN1t2PCh8-k5cRzytqn1mLWgIZ6uG_rum0KHgVRvCWOeeWf7k.hKdsm8PWHBNtjjoKI3rnooTjgWHJ3y-cg-1O_-r03ag&dib_tag=se&keywords=laptops&qid=1754669988&sprefix=laptops%2Caps%2C264&sr=8-2&xpid=V4OMaF1xdb4Ig,https://m.media-amazon.com/images/I/71vwx59yoVL.__AC_SX300_SY300_QL70_ML2_.jpg
